SHOW_ID,TITLE,TYPE,GENRE,RELEASE_DATE,RATING,DURATION,COUNTRY,DIRECTOR,CAST,DATE_ADDED,DESCRIPTION
s1,Dark,TV Show,Unknown/Horror,05-03-2000,5.3,NIL,Japan,NIL,"Actor A, Actor B, Actor E, Actor F",NIL,"Love, betrayal, and drama unfold."
s2,Ozark,Movie,Sci-Fi,07-10-2011,6.4,73 min,Germany,Multiple Directors,"Actor C, Actor E, Actor D, Actor F",10-03-2023,NIL
s3,Squid Game,TV Show,Unknown/Action,04-01-2001,Not Rated,NIL,Canada,Multiple Directors,"Actor C, Actor B, Actor A",02-06-2019,An unexpected journey.
s4,Extraction,TV Show,Documentary,06-12-2000,Not Rated,180 min,Japan,NIL,"Actor C, Actor E, Actor F, Actor D, Actor B",20-06-2014,"Love, betrayal, and drama unfold."
s5,Black Mirror,TV Show,Romance,20-05-2002,NIL,NIL,South Korea,NIL,"Actor C, Actor D, Actor F, Actor A",16-10-2018,Based on true events.
s6,Red Notice,TV Show,Romance,06-09-2009,Not Rated,8 Seasons,Spain,Multiple Directors,"Actor C, Actor A, Actor E, Actor B, Actor F",25-04-2009,NIL
s7,Extraction,TV Show,Drama,25-09-2018,4.1,NIL,USA,Jane Smith,"Actor A, Actor B",19-08-2021,An unexpected journey.
s8,Red Notice,TV Show,Sci-Fi,06-03-2007,NIL,NIL,USA,NIL,"Actor E, Actor D, Actor F, Actor B, Actor C",21-05-2018,"Love, betrayal, and drama unfold."
s9,Dark,Movie,Unknown/Horror,10-01-2013,NIL,NIL,South Korea,Multiple Directors,"Actor E, Actor B, Actor A, Actor C, Actor F",03-01-2011,Based on true events.
s10,Red Notice,Movie,Sci-Fi,16-08-2001,Not Rated,NIL,France,John Doe,"Actor B, Actor F, Actor C, Actor E, Actor D",12-05-2022,"Love, betrayal, and drama unfold."
s11,The Crown,TV Show,Documentary,03-06-2015,NIL,NIL,USA,Jane Smith,"Actor D, Actor C",18-09-2004,Based on true events.
s12,Enola Holmes,Movie,Documentary,27-03-2001,Not Rated,NIL,Germany,Jane Smith,"Actor D, Actor E, Actor F, Actor C, Actor B",06-01-2002,"Love, betrayal, and drama unfold."
s13,Bird Box,Movie,Sci-Fi,12-12-2024,5.4,7 Seasons,UK,Jane Smith,"Actor F, Actor E, Actor D",NIL,A thrilling story of survival.
s14,The Witcher,TV Show,Horror,15-11-2009,Not Rated,NIL,Spain,Jane Smith,"Actor A, Actor D, Actor C",NIL,"Love, betrayal, and drama unfold."
s15,Narcos,TV Show,Sci-Fi,02-02-2023,Not Rated,NIL,India,Jane Smith,"Actor C, Actor D, Actor A, Actor B",26-05-2016,NIL
s16,Ozark,TV Show,Horror,03-08-2002,6.5,70 min,Canada,Multiple Directors,"Actor D, Actor B",19-06-2015,NIL
